frame_idx,time,tracker_id,vehicle_type,violations,license_plate,confidence
21,0.6986713245997088,5,Car,Lane Change,Unknown,0.4135347306728363
24,0.7984815138282387,5,Car,Lane Change,Unknown,0.42830556631088257
27,0.8982917030567685,5,Car,Lane Change,Unknown,0.4741624891757965
69,2.295634352256186,7,Motorcycle,Lane Change,Unknown,0.8210746645927429
72,2.395444541484716,7,Motorcycle,"Lane Change, Speed: 58.6km/h",Unknown,0.8325535655021667
75,2.495254730713246,7,Motorcycle,"Lane Change, Speed: 76.7km/h",Unknown,0.8100611567497253
78,2.595064919941776,7,Motorcycle,"Lane Change, Speed: 88.2km/h",Unknown,0.8843878507614136
81,2.694875109170306,7,Motorcycle,Speed: 96.1km/h,Unknown,0.5930089354515076
195,6.487662299854439,71,Motorcycle,Lane Change,Unknown,0.7198756337165833
198,6.58747248908297,71,Motorcycle,Lane Change,Unknown,0.6834502220153809
201,6.687282678311499,71,Motorcycle,Lane Change,Unknown,0.7066722512245178
204,6.7870928675400295,71,Motorcycle,Lane Change,Unknown,0.742059588432312
225,7.4857641921397375,71,Motorcycle,Speed: 56.3km/h,Unknown,0.7993205785751343
228,7.585574381368268,71,Motorcycle,Speed: 70.8km/h,Unknown,0.8662424683570862
